user_id,content_id,genre,device,country,watch_start,watch_duration_min
user_122,movie_76,Action,Laptop,USA,2025-05-24 03:48:03,132
user_15,movie_55,Drama,Mobile,Germany,2025-05-22 16:54:03,53
user_125,movie_44,Action,TV,Canada,2025-07-04 17:28:03,135
user_185,movie_25,Thriller,Mobile,Canada,2025-06-16 15:11:03,88
user_102,movie_3,Romance,Mobile,USA,2025-06-15 11:30:03,136
user_200,movie_21,Documentary,Mobile,Canada,2025-05-23 13:06:03,156
user_74,movie_39,Action,Tablet,UK,2025-05-27 18:54:03,152
user_27,movie_84,Romance,Tablet,Germany,2025-07-02 03:57:03,9
user_80,movie_10,Thriller,Laptop,India,2025-07-05 17:12:03,135
user_117,movie_88,Thriller,Tablet,Germany,2025-05-09 16:57:03,15
user_164,movie_18,Action,Laptop,UK,2025-06-13 18:57:03,122
user_151,movie_89,Action,Laptop,UK,2025-07-02 01:56:03,53
user_93,movie_15,Action,Tablet,India,2025-06-06 16:03:03,168
user_46,movie_63,Drama,Mobile,Germany,2025-05-13 21:06:03,91
user_101,movie_66,Documentary,TV,India,2025-06-27 03:50:03,92
user_102,movie_39,Action,Laptop,Australia,2025-06-01 02:46:03,50
user_61,movie_39,Romance,Tablet,Canada,2025-07-03 05:47:03,41
user_33,movie_91,Romance,Tablet,UK,2025-06-13 04:19:03,126
user_58,movie_12,Comedy,TV,Australia,2025-06-30 10:21:03,131
user_23,movie_24,Thriller,Tablet,UK,2025-05-30 03:19:03,50
user_46,movie_70,Documentary,Laptop,India,2025-07-01 14:09:03,79
user_63,movie_73,Drama,Tablet,USA,2025-06-21 01:01:03,145
user_12,movie_86,Documentary,Laptop,Australia,2025-07-02 00:31:03,76
user_73,movie_43,Documentary,Laptop,Germany,2025-07-05 03:47:03,137
user_70,movie_2,Documentary,Tablet,Canada,2025-06-07 17:57:03,132
user_31,movie_82,Comedy,Laptop,India,2025-05-18 03:47:03,115
user_22,movie_36,Action,Tablet,Australia,2025-05-30 20:46:03,86
user_119,movie_48,Comedy,Tablet,Canada,2025-06-30 02:26:03,65
user_3,movie_94,Romance,Laptop,Germany,2025-06-18 01:27:03,179
user_93,movie_83,Action,Laptop,Canada,2025-07-07 08:29:03,108
user_153,movie_65,Romance,Mobile,Germany,2025-06-24 05:05:03,28
user_30,movie_52,Action,Tablet,UK,2025-05-31 11:43:03,117
user_199,movie_24,Thriller,Laptop,Germany,2025-05-28 04:36:03,85
user_100,movie_16,Action,Laptop,USA,2025-06-11 07:42:03,86
user_6,movie_33,Drama,Tablet,Canada,2025-06-18 19:00:03,91
user_6,movie_56,Thriller,TV,Canada,2025-06-21 04:21:03,129
user_117,movie_67,Action,Tablet,USA,2025-05-08 20:22:03,77
user_86,movie_48,Romance,TV,India,2025-05-19 01:04:03,26
user_134,movie_78,Thriller,Mobile,Australia,2025-06-20 14:39:03,88
user_2,movie_29,Drama,Tablet,USA,2025-06-13 15:18:03,160
user_168,movie_62,Documentary,Tablet,Australia,2025-07-02 21:51:03,136
user_136,movie_31,Romance,Laptop,Canada,2025-06-25 18:06:03,124
user_139,movie_37,Documentary,TV,UK,2025-05-15 05:45:03,130
user_45,movie_71,Drama,TV,Australia,2025-06-02 14:35:03,165
user_13,movie_68,Documentary,Laptop,Australia,2025-06-05 20:39:03,167
user_161,movie_54,Romance,TV,Australia,2025-05-30 09:17:03,107
user_40,movie_45,Action,Mobile,USA,2025-06-08 07:22:03,121
user_186,movie_33,Comedy,Laptop,Germany,2025-06-03 07:56:03,94
user_21,movie_73,Comedy,Mobile,USA,2025-06-06 13:56:03,29
user_80,movie_22,Documentary,Mobile,Australia,2025-06-27 03:12:03,36
user_56,movie_40,Comedy,Laptop,UK,2025-06-07 20:44:03,11
user_59,movie_11,Documentary,Laptop,India,2025-07-03 19:42:03,127
user_11,movie_91,Drama,Laptop,UK,2025-06-20 12:39:03,144
user_135,movie_3,Romance,TV,Canada,2025-06-26 19:11:03,122
user_91,movie_10,Documentary,Mobile,India,2025-05-09 18:22:03,11
user_175,movie_32,Drama,Laptop,Australia,2025-05-21 03:52:03,114
user_32,movie_9,Romance,TV,UK,2025-06-26 21:24:03,118
user_183,movie_80,Comedy,Mobile,Canada,2025-05-27 03:11:03,144
user_54,movie_6,Thriller,TV,Germany,2025-06-04 08:46:03,116
user_78,movie_74,Romance,Tablet,Canada,2025-05-16 10:00:03,110
user_88,movie_80,Romance,TV,Canada,2025-07-02 04:20:03,152
user_62,movie_59,Drama,TV,Australia,2025-06-10 12:03:03,133
user_70,movie_39,Comedy,TV,Germany,2025-07-02 00:30:03,174
user_34,movie_27,Comedy,Mobile,Germany,2025-07-02 02:57:03,94
user_91,movie_18,Action,Laptop,USA,2025-06-24 11:19:03,123
user_165,movie_79,Comedy,Tablet,Germany,2025-06-24 03:32:03,2
user_168,movie_18,Drama,TV,Canada,2025-07-02 07:10:03,138
user_173,movie_38,Action,Tablet,Canada,2025-06-25 16:59:03,65
user_79,movie_94,Action,Tablet,Australia,2025-06-03 22:47:03,180
user_194,movie_71,Action,TV,Germany,2025-06-11 20:13:03,31
user_105,movie_84,Thriller,Laptop,Australia,2025-05-22 07:44:03,147
user_50,movie_50,Romance,Laptop,Germany,2025-05-18 03:47:03,28
user_61,movie_94,Action,TV,Germany,2025-05-19 12:38:03,69
user_61,movie_37,Action,Laptop,Germany,2025-06-15 04:26:03,80
user_46,movie_22,Thriller,Laptop,Canada,2025-06-14 14:05:03,134
